รุ่นรถ,รหัสรถ,ยอดจัด,ดอกเบี้ยต่อเดือน,%ดาวน์,ราคาดาวน์,ทะเบียน พรบ ประกัน,ค่าใช้จ่ายออกรถ,ผ่อน12,ผ่อน18,ผ่อน24,ผ่อน30,ผ่อน36,ผ่อน48
ฟาซซิโอ้ SMK,BKF700,54600.0,0.015,0,0,1000,1000,5369,3853,3094,2639.0,2336.0,1957.0
ฟาซซิโอ้ Lite,BKFB00,53200.0,0.015,0,0,1000,1000,5232,3754,3015,2572.0,2276.0,1907.0
ฟาซซิโอ้ SMK,BKFD00,55200.0,0.015,0,2900,1000,3900,5143,3691,2964,2528.0,2238.0,1875.0
ฟาซซิโอ้ Edi+SMK,BKFE00,62200.0,0.015,0,3900,1000,4900,5733,4114,3304,2818.0,2494.0,2090.0
ฟาซซิโอ้ Lite Ver,BKFF00,53200.0,0.015,0,2000,1000,3000,5035,3613,2902,2475.0,2191.0,1835.0
แกรนด์ฟีลาโน่,BJK600,71200.0,0.014,0,3900,1000,4900,6551,4682,3747,3186.0,2812.0,2345.0
แกรนด์ฟีลาโน่,BJKA00,66600.0,0.014,0,2900,1000,3900,6201,4431,3546,3016.0,2662.0,2219.0
แกรนด์ฟีลาโน่2026 2026,BJKC00,66600.0,0.015,0,4900,1000,5900,6068,4354,3497,2983.0,2640.0,2211.0
แกรนด์ฟีลาโน่ 2026,BJKD00,71200.0,0.015,0,5900,1000,6900,6422,4608,3701,3157.0,2794.0,2340.0
แกรนด์ฟีลาโน่  Edi+SMK,BJKE00,76200.0,0.015,0,6900,1000,7900,6815,4890,3927,3350.0,2965.0,2484.0
เอ็นแม็ก 2025,BTF100,100200.0,0.0129,0,7900,1000,8900,8883,6319,5037,4268.0,3755.0,3114.0
เอ็นแม็ก เท็กแม็ก 2026,BTM200,130200.0,0.0129,0,15000,1000,16000,11087,7887,6287,5327.0,4687.0,3887.0
เอ็นแม็ก  2026,BTF200,99700.0,0.0129,0,10000,1000,11000,8633,6141,4895,4148.0,3649.0,3026.0
เอ็นแม็ก 2026 25TH,BTF300,109200.0,0.0129,0,15900,1000,16900,8979,6387,5092,4314.0,3796.0,3148.0
เอ็กซ์แม็กซ์  STD 2026,DR9200,177000.0,0.011,0,29900,6000,35900,13877,9791,7748,6522.0,5705.0,4683.0
เอ็กซ์แม็กซ์  TECH Max 2026,BKAW00,203000.0,0.011,0,48500,6000,54500,14575,10283,8137,6850.0,5992.0,4919.0
Aerox 155   2026,BWR100,85900.0,0.011,0,5900,1700,7600,7547,5325,4214,3547.0,3103.0,2547.0
Aerox 155  SP 2026,D13100,99000.0,0.011,0,19900,1700,21600,7462,5265,4166,3507.0,3068.0,2519.0
ฟาซซิโอ้UBS/ครอปไฟเลี้ยวหน้า-หลั,BKF700,53800.0,0.015,0,4900,1700,6600,4809,3451,2771,2364.0,2092.0,1753.0
ฟินน์/ล้อแม็ก/UBS/2024,DT0400,52000.0,0.014,0,900,1000,1900,4974,3555,2845,2419.0,2135.0,1780.0
ฟินน์ 2026  SMART KEY,DA6100,54000.0,0.0149,0,2900,1000,3900,5020,3601,2891,2465.0,2181.0,1826.0
ฟินน์ 2026 STD,DA6200,52300.0,0.0145,0,1900,1000,2900,4931,3531,2831,2411.0,2131.0,1781.0
ฟินน์ 2026 ซี่ลวด,DA6300,50300.0,0.0139,0,1900,1000,2900,4707,3362,2690,2287.0,2018.0,1682.0
เอ็กซ์ไซเตอร์,BWK300,80500.0,0.015,0,7900,1700,9600,7139,5123,4114,3509.0,3106.0,2602.0
WR155R ,B3MA00 ,107500.0,0.009000000000000001,0,7500,2000,9500,9234,6456,5067,4234.0,3678.0,2984.0
PG-1/2026/ ABS,D18100,59900.0,0.0135,0,1900,1000,2900,5617,4006,3200,2717.0,2395.0,1992.0
PG-1Special Edition,D18300,68900.0,0.0135,0,6900,1000,7900,6004,4282,3421,2904.0,2560.0,2129.0
R15สตาร์ทมือ/ดิสก์เบรก/ล้อแม็ก,BNCC00,123500.0,0.009000000000000001,0,52500,2000,54500,6556,4584,3598,3006.0,2612.0,2119.0
Wave 125 กุญแจธรรมดา /2026  1 คัน ดำ,AFS125CSBT TH,63500.0,0.017,6900,2000,8900,5679,3321,2535,2142,,,
Wave 110 แม็ก-มือ(  2 คัน แดง/   เทา-นต),AFS110MCBT TH,54000.0,0.017,3900,2000,5900,5027,2940,2244,1896,,,
GIORNO+ CBS  2 คัน ขาว-ดำ    เทา-น้ำตาล ,ACF125CBT,85500.0,0.017,6900,2000,8900,7887,4612,3520,2974,,,
Wave 110 แม็ก-มือ Limited (  1 คัน ขาว),AFS110MCBT 3TH,55500.0,0.017,3900,2000,5900,5178,3028,2311,1953,,,
